id_estudiante;id_escuela;id_plan;anio_ingreso
20200111;2;7;20
25200172;2;8;25
22200067;2;7;22
23200128;1;3;23
22200001;1;3;22
25200060;3;9;25
23200002;1;3;23
24200214;3;9;24
25200143;1;3;25
22200185;1;3;22
22200244;2;7;22
18200054;1;2;18
23200129;1;3;23
21200020;2;7;21
23200075;2;7;23
25200173;2;8;25
25200083;1;3;25
14200123;1;1;14
25200001;1;3;25
22200002;1;3;22
22200189;1;3;22
19200325;2;7;19
20200243;2;7;20
23200131;1;3;23
23170334;1;3;23
18200132;1;2;18
22200164;1;3;22
23200076;2;7;23
24200088;1;3;24
22200275;2;7;22
21200021;2;7;21
20200147;1;3;20
23200132;1;3;23
25200185;3;9;25
20200242;1;3;20
23200133;1;3;23
22200003;1;3;22
21200197;2;7;21
22200068;2;7;22
23200134;1;3;23
23200135;1;3;23
22200232;2;7;22
24200045;2;8;24
20200149;1;3;20
21200002;1;3;21
22200069;2;7;22
25200084;1;3;25
18200109;2;6;18
20200047;2;7;20
21200022;2;7;21
22200295;2;7;22
24200192;3;9;24
25200061;3;9;25
25200002;1;3;25
21200023;2;7;21
25200003;1;3;25
25200085;1;3;25
21200294;2;7;21
21200252;2;7;21
18200004;1;2;18
23200004;1;3;23
25200004;1;3;25
20200046;2;7;20
24200046;2;8;24
24200183;2;8;24
20200128;2;7;20
25200062;3;9;25
20200151;1;3;20
21200121;1;3;21
22200004;1;3;22
19200319;2;7;19
20200244;2;7;20
24200193;3;9;24
24200089;1;3;24
23200077;2;7;23
22200270;2;7;22
19200300;2;7;19
20200059;1;3;20
21200068;1;3;21
16200105;1;2;16
17200132;1;2;17
20200152;1;3;20
23200005;1;3;23
18200248;2;6;18
25200005;1;3;25
24200047;2;8;24
22200158;1;3;22
23200136;1;3;23
25200006;1;3;25
23200078;2;7;23
24200140;1;3;24
22200299;2;7;22
23200236;2;7;23
20200006;1;3;20
25200174;2;8;25
18200005;1;2;18
25200134;1;3;25
20200153;1;3;20
21200272;2;7;21
22200070;2;7;22
23200237;2;7;23
23200137;1;3;23
20130124;1;3;20
20200246;2;7;20
24200048;2;8;24
21200156;1;3;21
22200167;1;3;22
19200273;2;7;19
23200006;1;3;23
23200139;1;3;23
23200238;2;7;23
23200140;1;3;23
22200005;1;3;22
22200071;2;7;22
21200136;1;3;21
16200106;1;2;16
21200106;1;3;21
21200303;2;7;21
20200154;1;3;20
17200136;1;2;17
24200090;1;3;24
15200006;1;2;15
13200093;1;1;13
22200285;2;7;22
13200051;2;5;13
22200304;2;7;22
25200169;2;8;25
18200249;2;6;18
21200178;1;3;21
24200141;1;3;24
21200153;1;3;21
25200128;1;3;25
20200247;2;7;20
20200069;2;7;20
22200195;1;3;22
20200051;2;7;20
23200142;1;3;23
24200150;2;8;24
20200249;2;7;20
24200001;1;3;24
21200226;2;7;21
25200007;1;3;25
23200143;1;3;23
21200254;2;7;21
20200155;1;3;20
21200262;2;7;21
22200072;2;7;22
24200151;2;8;24
23200144;1;3;23
22200305;2;7;22
23200007;1;3;23
23200145;1;3;23
25200129;1;3;25
24200002;1;3;24
25200186;3;9;25
19200166;1;3;19
22200316;2;7;22
20200040;1;3;20
23200008;1;3;23
24200152;2;8;24
23200079;2;7;23
23200239;2;7;23
16200107;1;2;16
22200006;1;3;22
23200080;2;7;23
22200160;1;3;22
20200157;1;3;20
21200237;2;7;21
19200285;2;7;19
23200240;2;7;23
21200066;1;3;21
22200269;2;7;22
24200080;1;3;24
19200302;2;7;19
22200007;1;3;22
20200021;2;7;20
21200257;2;7;21
22200172;1;3;22
25200179;2;8;25
25200008;1;3;25
24200049;2;8;24
23200081;2;7;23
20200158;1;3;20
20200250;2;7;20
24200215;3;9;24
25200144;1;3;25
23200082;2;7;23
24200221;1;3;24
25200152;2;8;25
22200008;1;3;22
24200216;1;3;24
25200009;1;3;25
21200280;2;7;21
22200186;1;3;22
23200146;1;3;23
20200160;1;3;20
25200063;3;9;25
23200241;2;7;23
20170034;1;3;20
23200009;1;3;23
24200003;1;3;24
23200147;1;3;23
25200064;3;9;25
25200175;2;8;25
24200194;3;9;24
21200164;1;3;21
23200010;1;3;23
24200004;1;3;24
24200086;3;9;24
22130040;2;7;22
25200135;1;3;25
23200242;2;7;23
18200250;2;6;18
22200307;2;7;22
19200288;2;7;19
21200168;1;3;21
23200083;2;7;23
24200050;2;8;24
22200139;1;3;22
19200215;1;3;19
22200219;1;3;22
18200135;1;2;18
21200076;1;3;21
21200144;1;3;21
22200125;1;3;22
22200073;2;7;22
22200074;2;7;22
22200075;2;7;22
20200130;2;7;20
20200039;1;3;20
24200005;1;3;24
20200252;2;7;20
24200006;1;3;24
21200278;2;7;21
23200011;1;3;23
22200255;2;7;22
23200084;2;7;23
23200148;1;3;23
17200260;2;6;17
21200024;2;7;21
22200272;2;7;22
22200131;1;3;22
20200253;2;7;20
22200221;1;3;22
23200012;1;3;23
24200195;3;9;24
21200145;1;3;21
21200188;1;3;21
22200009;1;3;22
24200153;2;8;24
17200142;1;2;17
22200175;1;3;22
24200091;1;3;24
22200318;2;7;22
12200219;2;5;12
21200223;2;7;21
24200007;1;3;24
18200136;1;2;18
19200303;2;7;19
20200141;2;7;20
23200085;2;7;23
19200263;2;7;19
21200003;1;3;21
22200237;2;7;22
24200092;1;3;24
21200053;1;3;21
22200156;1;3;22
22200212;1;3;22
24200093;1;3;24
25200086;1;3;25
25200010;1;3;25
23200244;2;7;23
23200150;1;3;23
24200051;2;8;24
23200245;2;7;23
16200190;1;2;16
22200010;1;3;22
23200151;1;3;23
24200008;1;3;24
23200086;2;7;23
22200193;1;3;22
20200164;1;3;20
20200041;1;3;20
24200052;2;8;24
17200145;1;2;17
23200087;2;7;23
23200246;2;7;23
20200240;1;3;20
22200117;1;3;22
22200146;1;3;22
25200145;1;3;25
19200075;2;7;19
20070172;2;7;20
21200212;2;7;21
22200247;2;7;22
21200082;1;3;21
24200094;1;3;24
24200142;1;3;24
23200247;2;7;23
25200065;3;9;25
23200328;2;7;23
23200248;2;7;23
18200310;2;6;18
21200291;2;7;21
16200113;1;2;16
20200254;2;7;20
23200088;2;7;23
24200009;1;3;24
23200152;1;3;23
24200154;2;8;24
25200153;2;8;25
25200044;2;8;25
21200285;2;7;21
22200056;1;3;22
22200135;1;3;22
22200145;1;3;22
25200087;1;3;25
23200089;2;7;23
21200166;1;3;21
22200011;1;3;22
22200159;1;3;22
24200095;1;3;24
23200153;1;3;23
24200053;2;8;24
25200045;2;8;25
25200046;2;8;25
22200166;1;3;22
23200154;1;3;23
20200256;2;7;20
22200236;2;7;22
22200226;1;3;22
24200096;1;3;24
25200011;1;3;25
17200266;2;6;17
22200213;1;3;22
24200097;1;3;24
24200072;3;9;24
22200012;1;3;22
23200013;1;3;23
23200155;1;3;23
23200156;1;3;23
23200157;1;3;23
23200158;1;3;23
23200160;1;3;23
20200071;2;7;20
21200227;2;7;21
22200076;2;7;22
22200103;2;7;22
22200257;2;7;22
23200090;2;7;23
9200013;1;3;92
19200236;1;3;19
25200187;3;9;25
20200067;2;7;20
23200249;2;7;23
19200244;1;3;19
24200010;1;3;24
24200054;2;8;24
22200253;2;7;22
24200073;3;9;24
21200101;1;3;21
22200258;2;7;22
22200290;2;7;22
21200137;1;3;21
22200077;2;7;22
23200161;1;3;23
23200162;1;3;23
22200128;1;3;22
13200150;1;1;13
21200256;2;7;21
21200004;1;3;21
22200271;2;7;22
25200012;1;3;25
25200141;1;3;25
22200282;2;7;22
21200219;2;7;21
19200307;2;7;19
19200111;2;7;19
24200098;1;3;24
21200151;1;3;21
24200055;2;8;24
25200136;1;3;25
21200281;2;7;21
21200243;2;7;21
23200163;1;3;23
25200088;1;3;25
19200155;1;3;19
24200196;3;9;24
21200025;2;7;21
21200290;2;7;21
22200078;2;7;22
23200014;1;3;23
23200015;1;3;23
20200106;2;7;20
13200151;1;1;13
21200005;1;3;21
23200016;1;3;23
22200234;2;7;22
21190270;2;7;21
20200077;1;3;20
22200114;1;3;22
23200017;1;3;23
23200018;1;3;23
24200155;2;8;24
24200197;3;9;24
17200069;1;2;17
25200013;1;3;25
20200131;2;7;20
24200223;2;8;24
18200143;1;2;18
21200301;2;7;21
22200079;2;7;22
19200009;1;3;19
20200070;2;7;20
22200013;1;3;22
20200167;1;3;20
23200019;1;3;23
23200164;1;3;23
21200006;1;3;21
23200165;1;3;23
23200329;2;7;23
20200019;2;7;20
20200102;2;7;20
18200018;1;2;18
23200020;1;3;23
24200143;1;3;24
25200130;1;3;25
20200257;2;7;20
25200047;2;8;25
25200048;2;8;25
25200188;3;9;25
20200169;1;3;20
21200038;1;3;21
23200251;2;7;23
21200041;1;3;21
22200014;1;3;22
25200089;1;3;25
24200198;3;9;24
21200102;1;3;21
23200092;2;7;23
22200080;2;7;22
25200131;1;3;25
25200146;1;3;25
21200249;2;7;21
23200093;2;7;23
20200258;2;7;20
24200217;1;3;24
23200021;1;3;23
19200147;1;3;19
22200233;2;7;22
23200252;2;7;23
21200026;2;7;21
22200081;2;7;22
21200107;1;3;21
18200020;1;2;18
18200218;1;2;18
21200034;1;3;21
21200063;1;3;21
24200081;1;3;24
25200132;1;3;25
18200261;2;6;18
23200094;2;7;23
23200253;2;7;23
18130120;1;2;18
21200154;1;3;21
22200015;1;3;22
22200082;2;7;22
21200158;1;3;21
18200145;1;2;18
24200011;1;3;24
21200225;2;7;21
21200180;1;3;21
23200022;1;3;23
23200167;1;3;23
24200012;1;3;24
25200090;1;3;25
21200217;2;7;21
22200083;2;7;22
25200154;2;8;25
25200209;3;9;25
20200259;2;7;20
21200192;2;7;21
21200115;1;3;21
22200209;1;3;22
22200163;1;3;22
21200117;1;3;21
23200095;2;7;23
24200056;2;8;24
23200168;1;3;23
21200209;2;7;21
22200198;1;3;22
25200091;1;3;25
25200155;2;8;25
21200139;1;3;21
23200169;1;3;23
24200156;2;8;24
24200099;1;3;24
22200057;1;3;22
21200282;2;7;21
21200046;1;3;21
25200014;1;3;25
19200252;2;7;19
17200063;1;2;17
20200011;1;3;20
21200110;1;3;21
21200150;1;3;21
21200169;1;3;21
22200016;1;3;22
23200319;1;3;23
21200210;2;7;21
21200233;2;7;21
21200245;2;7;21
21200271;2;7;21
21200277;2;7;21
22200291;2;7;22
23200254;2;7;23
24200157;2;8;24
24200199;3;9;24
22200170;1;3;22
25200092;1;3;25
20200174;1;3;20
15200119;1;2;15
20200075;2;7;20
22200104;2;7;22
25200066;3;9;25
22200181;1;3;22
23200170;1;3;23
25200093;1;3;25
24200200;3;9;24
23200255;2;7;23
23200171;1;3;23
19170079;2;7;19
22200017;1;3;22
24200100;1;3;24
20200138;2;7;20
16200122;1;2;16
18200148;1;2;18
21200077;1;3;21
23200172;1;3;23
23200173;1;3;23
24200101;1;3;24
25200094;1;3;25
25200147;1;3;25
21200207;2;7;21
23200096;2;7;23
25200182;2;8;25
14200084;1;1;14
25200142;1;3;25
23200023;1;3;23
24200013;1;3;24
20200261;2;7;20
25200095;1;3;25
23200256;2;7;23
16200123;1;2;16
18200022;1;2;18
19200151;1;3;19
21200056;1;3;21
22200018;1;3;22
22200184;1;3;22
23200024;1;3;23
24200014;1;3;24
24200015;1;3;24
24200102;1;3;24
25200015;1;3;25
25200096;1;3;25
25200097;1;3;25
19200301;2;7;19
21200202;2;7;21
21200260;2;7;21
22200084;2;7;22
22200289;2;7;22
23200097;2;7;23
24200158;2;8;24
23070078;3;9;23
25200189;3;9;25
25200190;3;9;25
23200257;2;7;23
21200048;1;3;21
23200174;1;3;23
24200146;1;3;24
20200176;1;3;20
21200043;1;3;21
24200057;2;8;24
21200119;1;3;21
21200170;1;3;21
24200103;1;3;24
24200134;1;3;24
22200286;2;7;22
21200267;2;7;21
24200212;3;9;24
23200025;1;3;23
18200149;1;2;18
23200175;1;3;23
23200176;1;3;23
24200016;1;3;24
24200104;1;3;24
24200105;1;3;24
23200258;2;7;23
23200260;2;7;23
25200176;2;8;25
18200265;2;6;18
23200098;2;7;23
23200099;2;7;23
22200171;1;3;22
21200143;1;3;21
12200140;1;1;12
23200261;2;7;23
22200188;1;3;22
23200100;2;7;23
22200201;1;3;22
24200184;2;8;24
18200150;1;2;18
19200185;1;3;19
25200151;1;3;25
22200085;2;7;22
25200156;2;8;25
25200067;3;9;25
25200210;3;9;25
19200211;1;3;19
21200051;1;3;21
21200179;1;3;21
22200019;1;3;22
22200020;1;3;22
22200130;1;3;22
22200225;1;3;22
23200177;1;3;23
23200178;1;3;23
23130059;2;7;23
24200201;3;9;24
16200128;1;2;16
21200052;1;3;21
18200269;2;6;18
25200191;3;9;25
24200017;1;3;24
24200106;1;3;24
24200058;2;8;24
21200067;1;3;21
21200181;1;3;21
19200222;2;7;19
19200018;1;3;19
21200130;1;3;21
22200211;1;3;22
22200279;2;7;22
23200262;2;7;23
24200074;3;9;24
21200264;2;7;21
20200177;1;3;20
25200098;1;3;25
20200105;1;3;20
21200007;1;3;21
21200131;1;3;21
23200026;1;3;23
23200180;1;3;23
17200277;2;6;17
21200208;2;7;21
23200263;2;7;23
24200160;2;8;24
25200192;3;9;25
21200027;2;7;21
22200086;2;7;22
23200264;2;7;23
23200265;2;7;23
23200027;1;3;23
20200178;1;3;20
19200023;1;3;19
21200149;1;3;21
21200184;1;3;21
25200148;1;3;25
17200004;1;2;17
20200309;2;7;20
21200189;1;3;21
22200058;1;3;22
24200222;1;3;24
20200263;2;7;20
23200101;2;7;23
25200157;2;8;25
18200082;2;6;18
21200220;2;7;21
24200018;1;3;24
19200080;2;7;19
21200284;2;7;21
21200161;1;3;21
21200279;2;7;21
22200173;1;3;22
15200170;1;2;15
25200049;2;8;25
18200083;2;6;18
20200179;1;3;20
21200080;1;3;21
23200028;1;3;23
24200147;1;3;24
20200264;2;7;20
21200268;2;7;21
23200267;2;7;23
25200193;3;9;25
25200206;3;9;25
24200161;2;8;24
19200183;1;3;19
22200113;1;3;22
25200016;1;3;25
24200162;2;8;24
23200181;1;3;23
21200008;1;3;21
23200320;1;3;23
23200102;2;7;23
20200073;2;7;20
16200016;1;2;16
23200029;1;3;23
23200182;1;3;23
22200122;1;3;22
23200321;1;3;23
20200266;2;7;20
20200267;2;7;20
25200099;1;3;25
21200116;1;3;21
22170270;3;9;22
20200268;2;7;20
20200181;1;3;20
17200164;1;2;17
20200228;1;3;20
21200045;1;3;21
21200083;1;3;21
24200178;2;8;24
22200022;1;3;22
23200030;1;3;23
25200100;1;3;25
23200330;2;7;23
21200172;1;3;21
25200101;1;3;25
19200024;1;3;19
19200324;2;7;19
25200102;1;3;25
24200107;1;3;24
20200269;2;7;20
25200068;3;9;25
22200023;1;3;22
23200031;1;3;23
23200032;1;3;23
21200276;2;7;21
17200051;1;2;17
19200025;1;3;19
24200224;2;8;24
24200108;1;3;24
25200216;3;9;25
20200043;1;3;20
21200040;1;3;21
22200087;2;7;22
22200288;2;7;22
18200031;1;2;18
23200033;1;3;23
20200030;2;7;20
21200097;1;3;21
20200103;1;3;20
23200183;1;3;23
24200218;1;3;24
24200109;1;3;24
17200165;1;2;17
24200110;1;3;24
24200228;1;3;24
23200268;2;7;23
25200050;2;8;25
22200024;1;3;22
25200194;3;9;25
21200092;1;3;21
21200122;1;3;21
24200019;1;3;24
25200017;1;3;25
19200027;1;3;19
19200316;2;7;19
21200079;1;3;21
20200183;1;3;20
22200249;2;7;22
22200266;2;7;22
21200295;2;7;21
18200062;1;2;18
19200196;1;3;19
21200224;2;7;21
24200225;2;8;24
23200034;1;3;23
25200195;3;9;25
22200089;2;7;22
25200196;3;9;25
22200025;1;3;22
24200179;2;8;24
23200318;2;7;23
21200140;1;3;21
21200263;2;7;21
22200222;1;3;22
22200260;2;7;22
21200124;1;3;21
20200184;1;3;20
24200020;1;3;24
25200137;1;3;25
20200270;2;7;20
21200288;2;7;21
23200103;2;7;23
24200163;2;8;24
20200271;2;7;20
20200013;2;7;20
18200085;2;6;18
21200009;1;3;21
25200018;1;3;25
22200287;2;7;22
21200261;2;7;21
21200274;2;7;21
21200273;2;7;21
18200032;1;2;18
22200151;1;3;22
21200232;2;7;21
